open_time,open,high,low,close,volume
2025-08-30 03:00:00,2.793,2.82,2.791,2.813,27008708.85
2025-08-30 04:00:00,2.813,2.823,2.812,2.812,17198250.5
2025-08-30 05:00:00,2.812,2.835,2.81,2.827,25876054.77
2025-08-30 06:00:00,2.827,2.834,2.822,2.827,15431059.61
2025-08-30 07:00:00,2.827,2.834,2.822,2.832,16293551.26
2025-08-30 08:00:00,2.832,2.832,2.809,2.811,31008849.63
2025-08-30 09:00:00,2.811,2.812,2.796,2.804,30113417.78
2025-08-30 10:00:00,2.804,2.814,2.8,2.804,15915394.08
2025-08-30 11:00:00,2.804,2.813,2.801,2.81,11959730.42
2025-08-30 12:00:00,2.81,2.811,2.778,2.793,36032019.63
2025-08-30 13:00:00,2.793,2.794,2.775,2.792,29085982.81
2025-08-30 14:00:00,2.792,2.8,2.783,2.797,20594830.89
2025-08-30 15:00:00,2.797,2.81,2.792,2.807,20579291.38
2025-08-30 16:00:00,2.807,2.816,2.799,2.81,16753455.83
2025-08-30 17:00:00,2.81,2.818,2.804,2.807,15200246.09
2025-08-30 18:00:00,2.807,2.812,2.801,2.805,10257069.26
2025-08-30 19:00:00,2.805,2.815,2.804,2.81,12388805.71
2025-08-30 20:00:00,2.81,2.812,2.801,2.805,11565153.08
2025-08-30 21:00:00,2.805,2.809,2.801,2.807,12329014.72
2025-08-30 22:00:00,2.807,2.81,2.8,2.808,9080736.18
2025-08-30 23:00:00,2.808,2.818,2.808,2.818,11592802.04
2025-08-31 00:00:00,2.818,2.847,2.818,2.845,31118868.98
2025-08-31 01:00:00,2.845,2.868,2.837,2.863,32584600.2
2025-08-31 02:00:00,2.863,2.865,2.845,2.847,19149356.14
2025-08-31 03:00:00,2.847,2.853,2.841,2.852,14411589.44
2025-08-31 04:00:00,2.852,2.857,2.843,2.847,15568069.18
2025-08-31 05:00:00,2.847,2.847,2.833,2.837,17286263.88
2025-08-31 06:00:00,2.837,2.838,2.823,2.824,14682374.63
2025-08-31 07:00:00,2.824,2.835,2.823,2.829,12074666.02
2025-08-31 08:00:00,2.829,2.844,2.829,2.844,17273301.02
2025-08-31 09:00:00,2.844,2.844,2.83,2.831,14926526.04
2025-08-31 10:00:00,2.831,2.833,2.812,2.82,21586508.24
2025-08-31 11:00:00,2.82,2.827,2.813,2.824,20119625.41
2025-08-31 12:00:00,2.824,2.824,2.813,2.818,24105868.21
2025-08-31 13:00:00,2.818,2.823,2.805,2.811,22060528.78
2025-08-31 14:00:00,2.811,2.816,2.801,2.809,20951703.48
2025-08-31 15:00:00,2.809,2.825,2.809,2.822,18743303.74
2025-08-31 16:00:00,2.822,2.823,2.806,2.814,14889823.39
2025-08-31 17:00:00,2.814,2.815,2.807,2.809,9832222.1
2025-08-31 18:00:00,2.809,2.821,2.807,2.82,14052332.7
2025-08-31 19:00:00,2.82,2.82,2.799,2.8,18981591.39
2025-08-31 20:00:00,2.8,2.81,2.795,2.808,13612301.68
2025-08-31 21:00:00,2.808,2.817,2.804,2.811,11707089.59
2025-08-31 22:00:00,2.811,2.817,2.799,2.801,13990543.74
2025-08-31 23:00:00,2.801,2.801,2.771,2.776,40139770.81
2025-09-01 00:00:00,2.776,2.777,2.737,2.763,106101541.91
2025-09-01 01:00:00,2.763,2.779,2.755,2.765,40141461.3
2025-09-01 02:00:00,2.765,2.767,2.729,2.733,52605021.96
2025-09-01 03:00:00,2.733,2.746,2.726,2.742,46338332.33
2025-09-01 04:00:00,2.742,2.747,2.712,2.719,47903073.84
2025-09-01 05:00:00,2.719,2.738,2.702,2.733,55442965.04
2025-09-01 06:00:00,2.733,2.74,2.719,2.737,37454523.26
2025-09-01 07:00:00,2.737,2.794,2.727,2.794,85531777.38
2025-09-01 08:00:00,2.794,2.826,2.794,2.826,106463106.54
2025-09-01 09:00:00,2.826,2.839,2.808,2.808,65063874.01
2025-09-01 10:00:00,2.808,2.816,2.778,2.792,46481377.73
2025-09-01 11:00:00,2.792,2.8,2.767,2.77,34101139.26
2025-09-01 12:00:00,2.77,2.78,2.762,2.772,23191428.56
2025-09-01 13:00:00,2.772,2.778,2.754,2.759,35433871.9
2025-09-01 14:00:00,2.759,2.774,2.752,2.77,31064131.73
2025-09-01 15:00:00,2.77,2.779,2.752,2.762,26258329.87
2025-09-01 16:00:00,2.762,2.768,2.744,2.747,27988390.72
2025-09-01 17:00:00,2.747,2.748,2.72,2.727,42642350.26
2025-09-01 18:00:00,2.727,2.758,2.724,2.756,25353942.4
2025-09-01 19:00:00,2.756,2.775,2.753,2.773,23942122.45
2025-09-01 20:00:00,2.773,2.776,2.737,2.762,87312988.45
2025-09-01 21:00:00,2.762,2.764,2.7,2.728,53768256.49
2025-09-01 22:00:00,2.728,2.747,2.717,2.744,35520621.47
2025-09-01 23:00:00,2.744,2.761,2.735,2.759,29335044.71
2025-09-02 00:00:00,2.759,2.767,2.754,2.76,26384953.75
2025-09-02 01:00:00,2.76,2.777,2.748,2.765,34935964.39
2025-09-02 02:00:00,2.765,2.789,2.758,2.789,29611103.81
2025-09-02 03:00:00,2.789,2.801,2.783,2.798,31178388.07
2025-09-02 04:00:00,2.798,2.805,2.792,2.803,24126799.61
2025-09-02 05:00:00,2.803,2.816,2.798,2.811,29806501.68
2025-09-02 06:00:00,2.811,2.814,2.801,2.802,34842433.25
2025-09-02 07:00:00,2.802,2.806,2.786,2.794,40951307.34
2025-09-02 08:00:00,2.794,2.833,2.794,2.806,53647127.33
2025-09-02 09:00:00,2.806,2.822,2.804,2.81,24110079.58
2025-09-02 10:00:00,2.81,2.812,2.804,2.812,17607548.83
2025-09-02 11:00:00,2.812,2.813,2.795,2.799,23431438.74
2025-09-02 12:00:00,2.799,2.802,2.762,2.769,61191940.08
2025-09-02 13:00:00,2.769,2.833,2.768,2.828,105978823.17
2025-09-02 14:00:00,2.828,2.846,2.811,2.838,91034916.83
2025-09-02 15:00:00,2.838,2.84,2.787,2.791,47752337.54
2025-09-02 16:00:00,2.791,2.805,2.782,2.795,30285915.12
2025-09-02 17:00:00,2.795,2.807,2.788,2.806,23227957.25
2025-09-02 18:00:00,2.806,2.821,2.793,2.814,26027051.71
2025-09-02 19:00:00,2.814,2.828,2.8,2.828,37808721.08
2025-09-02 20:00:00,2.828,2.855,2.817,2.843,56392447.61
2025-09-02 21:00:00,2.843,2.849,2.833,2.845,23643401.23
2025-09-02 22:00:00,2.845,2.86,2.835,2.86,23037481.16
2025-09-02 23:00:00,2.86,2.864,2.851,2.862,27265563.38
2025-09-03 00:00:00,2.862,2.864,2.838,2.841,34349046.73
2025-09-03 01:00:00,2.841,2.849,2.826,2.848,31562549.21
2025-09-03 02:00:00,2.848,2.865,2.847,2.851,23817641.15
2025-09-03 03:00:00,2.851,2.851,2.836,2.841,19651360.13
2025-09-03 04:00:00,2.841,2.844,2.831,2.837,17420042.33
2025-09-03 05:00:00,2.837,2.837,2.824,2.827,16364168.09
2025-09-03 06:00:00,2.827,2.827,2.814,2.818,32330227.12
2025-09-03 07:00:00,2.818,2.822,2.811,2.821,31064218.39
2025-09-03 08:00:00,2.821,2.839,2.82,2.837,30813741.37
2025-09-03 09:00:00,2.837,2.848,2.833,2.847,38830540.6
2025-09-03 10:00:00,2.847,2.864,2.842,2.848,29027734.1
2025-09-03 11:00:00,2.848,2.861,2.847,2.857,27338734.53
2025-09-03 12:00:00,2.857,2.874,2.842,2.845,35103443.67
2025-09-03 13:00:00,2.845,2.875,2.845,2.86,38631957.16
2025-09-03 14:00:00,2.86,2.886,2.854,2.873,55886667.36
2025-09-03 15:00:00,2.873,2.876,2.862,2.872,31012885.1
2025-09-03 16:00:00,2.872,2.874,2.856,2.86,15189704.93
2025-09-03 17:00:00,2.86,2.869,2.857,2.862,18305132.05
2025-09-03 18:00:00,2.862,2.867,2.845,2.852,28648377.99
2025-09-03 19:00:00,2.852,2.866,2.843,2.865,26885303.46
2025-09-03 20:00:00,2.865,2.867,2.854,2.857,16546370.17
2025-09-03 21:00:00,2.857,2.858,2.839,2.846,17664133.2
2025-09-03 22:00:00,2.846,2.854,2.84,2.846,20573962.0
2025-09-03 23:00:00,2.846,2.848,2.842,2.844,11621861.4
2025-09-04 00:00:00,2.844,2.857,2.844,2.847,15912698.14
2025-09-04 01:00:00,2.847,2.847,2.835,2.841,20788762.61
2025-09-04 02:00:00,2.841,2.845,2.834,2.838,19635925.29
2025-09-04 03:00:00,2.838,2.851,2.833,2.844,19945128.12
2025-09-04 04:00:00,2.844,2.861,2.839,2.851,21610725.88
2025-09-04 05:00:00,2.851,2.851,2.826,2.833,38948890.77
2025-09-04 06:00:00,2.833,2.833,2.814,2.815,33270682.54
2025-09-04 07:00:00,2.815,2.827,2.815,2.825,24321073.42
2025-09-04 08:00:00,2.825,2.855,2.824,2.837,40192942.77
2025-09-04 09:00:00,2.837,2.85,2.837,2.843,23163650.58
2025-09-04 10:00:00,2.843,2.847,2.836,2.842,18671486.17
2025-09-04 11:00:00,2.842,2.851,2.839,2.841,17564108.24
2025-09-04 12:00:00,2.841,2.847,2.833,2.846,28187230.92
2025-09-04 13:00:00,2.846,2.847,2.821,2.826,31476049.93
2025-09-04 14:00:00,2.826,2.846,2.809,2.835,61443216.66
2025-09-04 15:00:00,2.835,2.837,2.804,2.81,43820547.98
2025-09-04 16:00:00,2.81,2.82,2.801,2.807,27849030.25
2025-09-04 17:00:00,2.807,2.821,2.807,2.815,19150555.53
2025-09-04 18:00:00,2.815,2.823,2.797,2.799,21952817.13
2025-09-04 19:00:00,2.799,2.807,2.785,2.785,25442068.34
2025-09-04 20:00:00,2.785,2.807,2.785,2.801,24117405.17
2025-09-04 21:00:00,2.801,2.814,2.799,2.813,13959010.21
2025-09-04 22:00:00,2.813,2.822,2.803,2.819,18669939.18
2025-09-04 23:00:00,2.819,2.825,2.794,2.794,25566909.5
